repos,packages
https://github.com/goxul/GSoc-17,"AntWeb, ecoengine"
https://github.com/ropensci/dashboard,"AntWeb, clifro, ecoengine, floras, mdextract, paleobioDB, pangaear, rAvis, rbhl, rbison, rdryad, rebird, Reol, rfisheries, rflybase, rglobi, rinat, rnbn, rnpn, rsnps, rvertnet, rWBclimate, treebase"
https://github.com/ropensci/jumpin,"AntWeb, clifro, ecoengine, floras, mdextract, paleobioDB, pangaear, rAvis, rbhl, rbison, rdryad, rebird, Reol, rfisheries, rflybase, rglobi, rinat, rnbn, rnpn, rvertnet, rWBclimate, treebase"
https://github.com/ropensci-training/workshop-stanford-2014-06,"AntWeb, ecoengine, rdryad, rebird, rfisheries, rWBclimate"
https://github.com/ryanpeek/test_projects,"AntWeb, ecoengine, spocc"
https://github.com/ropensci/spocc,"AntWeb, ecoengine, rinat, spocc"
https://github.com/hmorzaria/Biodiversity,"AntWeb, rbison, rvertnet"
https://github.com/ropensci/mapr,"AntWeb, ecoengine, spocc"
https://github.com/ropensci/ro,"AntWeb, floras, rAvis, rbhl, rbison, rdryad, Reol, rfisheries, rflybase, rglobi, rinat, rnpn, rvertnet, rWBclimate"
https://github.com/TypeFox/R-Examples,"bold, clifro, ecoengine, neotoma, ots, pangaear, pleiades, prism, rAvis, rbhl, rbison, rdryad, rebird, rentrez, rfishbase, rgbif, rglobi, rnbn, rnoaa, rnpn, rsnps, rvertnet, spocc, traits, treebase, chromer, webchem"
https://github.com/Irbis3/crantasticScrapper,"bold, ecoengine, rfisheries"
https://github.com/cran/spoccutils,"ecoengine, spocc"
https://github.com/hannahlowens/BridgeTree,"ecoengine, spocc"
https://github.com/ropensci/rostats,"pleiades, rAvis, rfisheries, opencontext, rdopa, webchem"
https://github.com/ncss-tech/soil-pit,"prism, rnoaa"
https://github.com/rweekly/rweekly.org,"rbhl, rWBclimate"
https://github.com/rforge/ropensci,"rbison, rentrez, rinat, rnpn, rsnps, rvertnet, treebase"
https://github.com/hmorzaria/speciesdistributions,"rbison, rvertnet"
https://github.com/phylotastic/phylobot,"rdryad, treebase"
https://github.com/Japhilko/Rcode,"rdryad, rWBclimate"
https://github.com/Japhilko/DataAnalysis,"rdryad, rWBclimate"
https://github.com/sckott/rostatus,"rebird, rsnps, treebase"
https://github.com/kissmygritts/rOpenDataAccess_ndow,"rebird, rvertnet"
https://github.com/mcglinnlab/soar,"rebird, rinat"
https://github.com/SheffieldR/NBN_hack_series,"Reol, rnbn"
https://github.com/chendaniely/2014-09-24-frb,"rfisheries, rWBclimate"
https://github.com/UW-Madison-ACI/2014-08-25-wisc,"rfisheries, rWBclimate"
https://github.com/resbaz/2014-09-15-unimelb,"rfisheries, rWBclimate"
https://github.com/hpcarcher/2014-07-21-cranfield,"rfisheries, rWBclimate"
https://github.com/AshwinAgrawal16/BiodiversityGSoC17,"rgbif, rvertnet, spocc"
https://github.com/jatinrajani/BiodiversityDataCleaning,"rgbif, spocc"
https://github.com/Jpomz/pollinate,"rglobi, spocc"
https://github.com/ropensci-training/workshops-unc-2014-02,"rnoaa, rWBclimate"
